,model,hyperparams,mse,rmse,mae,r2
189,SVR,"{'C': 0.01, 'kernel': 'linear', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8470630163750048,0.9203602644481154,0.7135551938770457,0.09279758480848899
191,SVR,"{'C': 0.01, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",0.8470630163750048,0.9203602644481154,0.7135551938770457,0.09279758480848899
190,SVR,"{'C': 0.01, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",0.8470630163750048,0.9203602644481154,0.7135551938770457,0.09279758480848899
162,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 5}",0.8468316725653678,0.9202345747500296,0.6915124555864365,0.09304535346180642
114,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 500}",0.846192924118676,0.9198874518758673,0.70328052627466,0.0937294514832483
118,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 1000}",0.8459383332096058,0.9197490599123251,0.6864276886505739,0.09400211772310219
198,SVR,"{'C': 0.01, 'kernel': 'poly', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8457208695697,0.9196308333074202,0.7125794768354407,0.09423502074864465
120,MLPRegressor,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 500}",0.845468432541728,0.9194935739534714,0.7003666246265359,0.09450538018711951
98,MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 200}",0.8431237083385301,0.9182176802580803,0.7055712444348397,0.09701657406405462
113,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 200}",0.8422738626475046,0.9177547944018078,0.694231144221728,0.09792675671697915
251,SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",0.8409009034939126,0.9170064904317268,0.6856667482665687,0.09939719260665858
287,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",0.8398586818866781,0.9164380403969916,0.6924677857500983,0.10051340939451248
161,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 3}",0.8387093077070576,0.9158107379295449,0.6867430425682937,0.1017443863248626
109,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 1000}",0.8361176642383612,0.9143946982776974,0.7010501533560185,0.1045200301301823
27,RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}",0.8351152029329558,0.9138463781910807,0.6964443098156858,0.10559366373219192
76,RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}",0.8266401134276381,0.9091975106805111,0.694590822976335,0.11467046382800039
71,RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}",0.8264653198830327,0.9091013804208158,0.6959182626848379,0.11485766728601998
62,RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}",0.8248924857871959,0.9082359196746161,0.6949721714831276,0.11654216874914025
149,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3}",0.8236754277099013,0.9075656602747271,0.6823136117944295,0.11784563496807043
110,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 200}",0.8207062687749083,0.9059284015720603,0.6812856182974883,0.1210255969128623
56,RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}",0.8198033461968798,0.9054299234048319,0.6954125835626594,0.12199262478172612
116,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 200}",0.8187246682459124,0.90483405563999,0.6862727726552148,0.12314788622439798
111,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 500}",0.8186740376227006,0.9048060773572979,0.6868616933454946,0.12320211149781024
50,RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}",0.8173219339665564,0.9040585898970024,0.6896451343844376,0.1246502112008202
77,RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}",0.81610236075943,0.9033838391068494,0.6894215560990167,0.12595637111763813
78,RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}",0.8159984369000846,0.9033263180601374,0.6904489812126744,0.12606767331637858
58,RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}",0.8152734193685299,0.9029249245471795,0.690254540778207,0.1268441653163448
47,RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}",0.813765465672147,0.9020894998126001,0.6900301001460478,0.1284591800306102
52,RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}",0.8136062082334351,0.902001224075353,0.6905867081440517,0.12862974435728203
130,MLPRegressor,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 1000}",0.8128403306123919,0.9015765805589628,0.6862146904647285,0.12944999741298135
68,RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}",0.8128266576634757,0.9015689977275593,0.6878261813871298,0.12946464110777123
63,RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}",0.8125751310462898,0.9014294931087454,0.686072569250586,0.12973402549852475
