,Unnamed: 0.1,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
87,,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'adam'}",0.8181034768486295,0.8655043586550436,0.8151815181518152,0.8599779492833517,0.7627118644067796,0.7982261640798226,0.8426966292134831,0.9090909090909092,0.800711743772242,0.8500590318772137
88,,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200, 'solver': 'adam'}",0.8181034768486295,0.8698605428057483,0.8151815181518152,0.8632855567805954,0.7627118644067796,0.7969432314410481,0.8426966292134831,0.9217171717171716,0.800711743772242,0.8548009367681499
89,,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8178714659772629,0.9879741643440274,0.8184818481848185,0.9867695700110254,0.7833935018050542,0.9729064039408868,0.8127340823970037,0.9974747474747476,0.7977941176470589,0.9850374064837903
90,,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8178714659772629,0.9547999565122852,0.8184818481848185,0.9525909592061742,0.7833935018050542,0.9232613908872902,0.8127340823970037,0.9722222222222222,0.7977941176470589,0.9471094710947108
91,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8177554605415797,0.9861432327185752,0.8201320132013201,0.9856670341786108,0.7947761194029851,0.9775561097256856,0.797752808988764,0.98989898989899,0.7962616822429907,0.9836888331242158
92,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.817357727619237,0.99412915851272,0.8201320132013201,0.9933847850055126,0.7969924812030075,0.9850746268656716,0.7940074906367042,1.0,0.7954971857410882,0.9924812030075189
93,,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.817357727619237,0.9948234794125204,0.8201320132013201,0.9944873208379272,0.7969924812030075,0.9899749373433584,0.7940074906367042,0.9974747474747476,0.7954971857410882,0.9937106918238994
94,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.817357727619237,0.9799882385498824,0.8201320132013201,0.9790518191841234,0.7969924812030075,0.965432098765432,0.7940074906367042,0.9873737373737372,0.7954971857410882,0.9762796504369536
95,,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8170760001325776,0.9738332443811896,0.8184818481848185,0.9724366041896362,0.7875457875457875,0.9535452322738386,0.8052434456928839,0.9848484848484848,0.7962962962962964,0.968944099378882
96,,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8170760001325776,0.9857330645001878,0.8184818481848185,0.9845644983461964,0.7875457875457875,0.9704433497536946,0.8052434456928839,0.9949494949494948,0.7962962962962964,0.9825436408977556
97,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8169599946968944,0.9913197533060548,0.8201320132013201,0.9911797133406836,0.7992424242424242,0.9874371859296482,0.7902621722846442,0.9924242424242424,0.7947269303201506,0.9899244332493704
