,model,mse,rmse,mae,r2
176,SVR,0.5706718441502415,0.75542825215254,0.5468351659799694,0.3634199230392058
177,SVR,0.5796079766741374,0.7613198911588593,0.5508180579537658,0.35345173556315446
178,SVR,0.5802607692499578,0.7617484947474185,0.602496034709929,0.35272355043817427
179,SVR,0.5706718441502415,0.75542825215254,0.5468351659799694,0.3634199230392058
180,SVR,0.5796079766741374,0.7613198911588593,0.5508180579537658,0.35345173556315446
181,SVR,0.5802607692499578,0.7617484947474185,0.602496034709929,0.35272355043817427
182,SVR,0.5706718441502415,0.75542825215254,0.5468351659799694,0.3634199230392058
183,SVR,0.5796079766741374,0.7613198911588593,0.5508180579537658,0.35345173556315446
184,SVR,0.5802607692499578,0.7617484947474185,0.602496034709929,0.35272355043817427
185,SVR,0.5878750004934992,0.7667300701638741,0.5507803933116278,0.344229933728858
186,SVR,0.5693355889624854,0.7545432982688836,0.5488300058729755,0.36491050547985115
187,SVR,0.58979229527397,0.7679793586249373,0.608590074491341,0.34209120606703325
188,SVR,0.5878750004934992,0.7667300701638741,0.5507803933116278,0.344229933728858
189,SVR,0.5693355889624854,0.7545432982688836,0.5488300058729755,0.36491050547985115
190,SVR,0.58979229527397,0.7679793586249373,0.608590074491341,0.34209120606703325
191,SVR,0.5878750004934992,0.7667300701638741,0.5507803933116278,0.344229933728858
192,SVR,0.5693355889624854,0.7545432982688836,0.5488300058729755,0.36491050547985115
193,SVR,0.58979229527397,0.7679793586249373,0.608590074491341,0.34209120606703325
194,SVR,0.7273894733820817,0.8528713111496258,0.6331578264668744,0.1886026063971511
195,SVR,0.6613873229576646,0.8132572304982382,0.6000908798208393,0.26222750033127673
196,SVR,0.58979229527397,0.7679793586249373,0.608590074491341,0.34209120606703325
197,SVR,0.7273894733820817,0.8528713111496258,0.6331578264668744,0.1886026063971511
198,SVR,0.6613873229576646,0.8132572304982382,0.6000908798208393,0.26222750033127673
199,SVR,0.58979229527397,0.7679793586249373,0.608590074491341,0.34209120606703325
200,SVR,0.7273894733820817,0.8528713111496258,0.6331578264668744,0.1886026063971511
201,SVR,0.6613873229576646,0.8132572304982382,0.6000908798208393,0.26222750033127673
202,SVR,0.58979229527397,0.7679793586249373,0.608590074491341,0.34209120606703325
